Eval ID , Question # , Deviations , EmotionCount , NumberWord , SucRate , Time2ans , Alpha , Beta , Gama , Achieved Adaptation , Current profile , True Profile , True Adaptation
 18292 , 2 , 10.00 , 263.00 , 1.00 , 0.67 , 30.14 , 1.33 , 2.20 , 2.00 , 1 , 2 , 1 , -1
 18292 , 3 , 13.00 , 178.00 , 1.00 , 10.00 , 18.66 , 1.33 , 2.20 , 8.00 , 1 , 1 , 2 , 1
 18293 , 1 , 0.00 , 0.00 , 2.00 , 1.21 , 10.99 , 5.36 , 8.00 , 2.00 , 1 , 3 , 2 , -1
 18293 , 2 , 2.00 , 55.00 , 4.00 , 3.43 , 17.65 , 5.36 , 8.00 , 2.00 , 1 , 2 , 1 , -1
 18293 , 3 , 2.00 , 42.00 , 1.00 , 0.00 , 12.16 , 5.36 , 8.00 , 2.00 , 1 , 1 , 1 , 0
 18294 , 1 , 4.00 , 20.00 , 2.00 , 4.00 , 31.78 , 5.36 , 8.00 , 2.00 , 1 , 3 , 2 , -1
 18294 , 2 , 6.00 , 0.00 , 3.00 , 6.15 , 14.37 , 5.36 , 8.00 , 2.00 , 1 , 2 , 3 , 1
 18294 , 3 , 8.00 , 1.00 , 2.00 , 2.50 , 10.41 , 1.33 , 8.00 , 2.00 , 1 , 3 , 2 , -1
 18295 , 1 , 0.00 , 31.00 , 5.00 , 3.71 , 19.01 , 1.33 , 8.00 , 2.00 , 1 , 3 , 2 , -1
 18295 , 2 , 1.00 , 41.00 , 3.00 , 3.33 , 19.57 , 1.33 , 8.00 , 2.00 , 1 , 2 , 1 , -1
 18295 , 3 , 6.00 , 27.00 , 2.00 , 2.86 , 19.55 , 1.33 , 8.00 , 2.00 , 1 , 1 , 1 , 0
 18296 , 1 , 7.00 , 272.00 , 1.00 , 2.00 , 52.38 , 1.33 , 2.20 , 2.00 , 1 , 3 , 2 , -1
 18296 , 2 , 12.00 , 326.00 , 2.00 , 2.67 , 39.24 , 1.33 , 7.80 , 2.00 , 1 , 2 , 1 , -1
 18296 , 3 , 13.00 , 171.00 , 1.00 , 10.00 , 9.56 , 1.33 , 2.20 , 8.00 , 1 , 1 , 2 , 1
 18297 , 1 , 1.00 , 61.00 , 2.00 , 10.00 , 12.86 , 1.33 , 5.29 , 8.00 , 1 , 3 , 4 , 1
 18297 , 2 , 4.00 , 162.00 , 6.00 , 4.55 , 36.58 , 1.33 , 5.00 , 5.00 , 1 , 4 , 4 , 0
 18297 , 3 , 4.00 , 228.00 , 2.00 , 0.86 , 20.22 , 1.33 , 7.80 , 2.00 , 1 , 4 , 3 , -1
 18298 , 1 , 0.00 , 57.00 , 5.00 , 4.24 , 18.80 , 5.36 , 4.36 , 5.00 , 1 , 3 , 4 , 1
 18298 , 2 , 0.00 , 82.00 , 2.00 , 10.00 , 14.61 , 5.36 , 6.14 , 8.00 , 0 , 4 , 5 , 1
 18298 , 3 , 2.00 , 84.00 , 2.00 , 5.19 , 52.98 , 1.33 , 6.15 , 5.00 , 1 , 5 , 5 , 0
 18299 , 1 , 3.00 , 68.00 , 7.00 , 3.85 , 21.04 , 1.33 , 6.15 , 5.00 , 1 , 3 , 3 , 0
 18299 , 2 , 4.00 , 17.00 , 3.00 , 4.23 , 13.01 , 1.33 , 6.15 , 5.00 , 1 , 3 , 3 , 0
 18299 , 3 , 8.00 , 50.00 , 7.00 , 4.00 , 28.05 , 1.33 , 6.15 , 5.00 , 1 , 3 , 3 , 0
 18300 , 1 , 2.00 , 4.00 , 2.00 , 2.67 , 44.24 , 1.33 , 8.00 , 2.00 , 1 , 3 , 2 , -1
 18300 , 2 , 5.00 , 0.00 , 1.00 , 0.77 , 13.37 , 1.33 , 2.00 , 2.00 , 1 , 2 , 1 , -1
 18300 , 3 , 6.00 , 0.00 , 1.00 , 10.00 , 20.74 , 1.33 , 2.00 , 8.00 , 1 , 1 , 2 , 1
 18301 , 1 , 4.00 , 15.00 , 2.00 , 1.52 , 32.61 , 1.33 , 8.00 , 2.00 , 1 , 3 , 2 , -1
 18301 , 2 , 7.00 , 75.00 , 1.00 , 4.67 , 16.12 , 1.33 , 3.85 , 5.00 , 1 , 2 , 3 , 1
 18301 , 3 , 10.00 , 4.00 , 2.00 , 4.67 , 16.92 , 1.33 , 8.00 , 5.00 , 1 , 3 , 2 , -1
 18302 , 1 , 5.00 , 98.00 , 2.00 , 2.67 , 15.97 , 1.33 , 6.31 , 2.00 , 1 , 3 , 2 , -1
 18302 , 2 , 5.00 , 109.00 , 2.00 , 2.50 , 21.04 , 1.33 , 6.73 , 2.00 , 1 , 2 , 1 , -1
 18302 , 3 , 9.00 , 33.00 , 1.00 , 10.00 , 22.48 , 1.33 , 4.80 , 8.00 , 1 , 1 , 2 , 1
 18303 , 1 , 2.00 , 2.00 , 2.00 , 1.21 , 18.17 , 1.33 , 8.00 , 2.00 , 1 , 3 , 2 , -1
 18303 , 2 , 9.00 , 43.00 , 2.00 , 2.67 , 27.72 , 1.33 , 5.01 , 2.00 , 1 , 2 , 1 , -1
 18303 , 3 , 16.00 , 8.00 , 1.00 , 10.00 , 13.82 , 1.33 , 2.00 , 8.00 , 1 , 1 , 2 , 1
 18304 , 1 , 0.00 , 32.00 , 1.00 , 5.83 , 11.49 , 5.36 , 4.74 , 5.00 , 1 , 3 , 4 , 1
 18304 , 2 , 1.00 , 149.00 , 2.00 , 0.39 , 27.02 , 1.33 , 7.80 , 2.00 , 1 , 4 , 3 , -1
 18304 , 3 , 3.00 , 10.00 , 2.00 , 2.67 , 25.56 , 1.33 , 8.00 , 2.00 , 1 , 3 , 2 , -1
 18305 , 1 , 3.00 , 170.00 , 3.00 , 6.00 , 17.31 , 1.33 , 5.00 , 5.00 , 1 , 3 , 2 , -1
 18305 , 2 , 4.00 , 206.00 , 3.00 , 3.12 , 15.82 , 1.33 , 5.00 , 5.00 , 1 , 2 , 1 , -1
 18305 , 3 , 6.00 , 71.00 , 2.00 , 7.14 , 14.28 , 1.33 , 5.69 , 8.00 , 1 , 1 , 2 , 1
 18306 , 1 , 4.00 , 7.00 , 2.00 , 10.00 , 12.04 , 1.33 , 8.00 , 8.00 , 1 , 3 , 4 , 1
 18306 , 2 , 11.00 , 26.00 , 2.00 , 2.67 , 19.97 , 1.33 , 8.00 , 2.00 , 1 , 4 , 3 , -1
 18306 , 3 , 13.00 , 10.00 , 1.00 , 5.83 , 9.14 , 1.33 , 2.00 , 5.00 , 1 , 3 , 4 , 1
 18307 , 1 , 1.00 , 24.00 , 2.00 , 10.00 , 18.43 , 1.33 , 8.00 , 8.00 , 1 , 3 , 4 , 1
 18307 , 2 , 2.00 , 31.00 , 2.00 , 2.67 , 17.08 , 1.33 , 8.00 , 2.00 , 1 , 4 , 3 , -1
 18307 , 3 , 5.00 , 34.00 , 5.00 , 2.50 , 28.03 , 1.33 , 8.00 , 2.00 , 1 , 3 , 2 , -1
 18308 , 1 , 3.00 , 106.00 , 1.00 , 1.33 , 19.27 , 1.33 , 3.43 , 2.00 , 1 , 3 , 2 , -1
 18308 , 2 , 7.00 , 85.00 , 3.00 , 3.85 , 13.19 , 1.33 , 3.43 , 2.00 , 1 , 2 , 2 , 0
 18308 , 3 , 15.00 , 116.00 , 6.00 , 2.63 , 26.03 , 1.33 , 5.00 , 2.00 , 1 , 2 , 1 , -1
 18309 , 1 , 3.00 , 131.00 , 7.00 , 4.00 , 27.29 , 1.33 , 5.00 , 2.00 , 1 , 3 , 4 , 1
 18309 , 2 , 5.00 , 103.00 , 1.00 , 1.33 , 13.39 , 1.33 , 3.55 , 2.00 , 1 , 4 , 4 , 0
 18309 , 3 , 6.00 , 131.00 , 11.00 , 3.89 , 27.18 , 1.33 , 3.55 , 2.00 , 1 , 4 , 4 , 0
 18334 , 1 , 1.00 , 25.00 , 2.00 , 10.00 , 9.71 , 1.33 , 8.00 , 8.00 , 1 , 3 , 4 , 1
 18334 , 2 , 5.00 , 28.00 , 5.00 , 3.68 , 13.45 , 1.33 , 8.00 , 8.00 , 1 , 4 , 3 , -1
 18334 , 3 , 5.00 , 168.00 , 3.00 , 3.16 , 23.73 , 1.33 , 8.00 , 8.00 , 1 , 3 , 2 , -1
 18335 , 1 , 0.00 , 0.00 , 1.00 , 1.33 , 9.13 , 5.36 , 2.00 , 2.00 , 1 , 3 , 2 , -1
 18335 , 2 , 0.00 , 0.00 , 1.00 , 2.00 , 14.78 , 5.36 , 2.00 , 2.00 , 1 , 2 , 1 , -1
 18335 , 3 , 0.00 , 0.00 , 1.00 , 2.00 , 11.61 , 5.36 , 2.00 , 2.00 , 1 , 1 , 1 , 0
 18336 , 1 , 2.00 , 2.00 , 2.00 , 10.00 , 26.78 , 1.33 , 8.00 , 8.00 , 1 , 3 , 4 , 1
 18336 , 2 , 12.00 , 2.00 , 2.00 , 2.14 , 36.67 , 1.33 , 8.00 , 2.00 , 1 , 4 , 3 , -1
 18336 , 3 , 17.00 , 0.00 , 2.00 , 7.33 , 9.89 , 1.33 , 8.00 , 8.00 , 1 , 3 , 4 , 1
 18337 , 1 , 13.00 , 25.00 , 3.00 , 1.88 , 62.75 , 1.33 , 8.00 , 2.00 , 1 , 3 , 2 , -1
 18337 , 2 , 18.00 , 0.00 , 1.00 , 7.14 , 8.62 , 1.33 , 2.00 , 8.00 , 1 , 2 , 3 , 1
 18337 , 3 , 19.00 , 85.00 , 2.00 , 10.00 , 13.51 , 1.33 , 6.15 , 8.00 , 1 , 3 , 4 , 1
 18338 , 1 , 1.00 , 3.00 , 2.00 , 10.00 , 9.99 , 1.33 , 8.00 , 8.00 , 1 , 3 , 4 , 1
 18338 , 2 , 2.00 , 2.00 , 4.00 , 6.97 , 13.69 , 1.33 , 8.00 , 8.00 , 1 , 4 , 5 , 1
 18338 , 3 , 5.00 , 0.00 , 3.00 , 1.78 , 11.92 , 1.33 , 8.00 , 8.00 , 1 , 5 , 4 , -1
 18339 , 1 , 4.00 , 2.00 , 6.00 , 2.33 , 19.20 , 1.33 , 8.00 , 8.00 , 1 , 3 , 2 , -1
 18339 , 2 , 4.00 , 0.00 , 1.00 , 10.00 , 10.74 , 1.33 , 2.00 , 8.00 , 1 , 2 , 3 , 1
 18339 , 3 , 7.00 , 0.00 , 2.00 , 10.00 , 10.27 , 1.33 , 8.00 , 8.00 , 1 , 3 , 4 , 1
 18340 , 1 , 3.00 , 4.00 , 2.00 , 10.00 , 10.53 , 1.33 , 8.00 , 8.00 , 1 , 3 , 4 , 1
 18340 , 2 , 5.00 , 6.00 , 5.00 , 3.86 , 23.99 , 1.33 , 8.00 , 8.00 , 1 , 4 , 4 , 0
 18340 , 3 , 0.00 , 0.00 , -8.00 , 3.92 , 29.71 , 1.33 , 8.00 , 8.00 , 1 , 4 , 4 , 0
 18341 , 1 , 1.00 , 55.00 , 2.00 , 10.00 , 29.79 , 1.33 , 5.14 , 8.00 , 1 , 3 , 4 , 1
 18341 , 2 , 9.00 , 8.00 , 4.00 , 1.00 , 21.93 , 1.33 , 5.14 , 8.00 , 1 , 4 , 3 , -1
 18341 , 3 , 17.00 , 6.00 , 8.00 , 2.53 , 15.07 , 1.33 , 5.14 , 8.00 , 1 , 3 , 2 , -1
 18342 , 1 , 5.00 , 37.00 , 3.00 , 2.67 , 33.15 , 1.33 , 8.00 , 2.00 , 1 , 3 , 2 , -1
 18342 , 2 , 6.00 , 0.00 , 1.00 , 7.14 , 7.64 , 1.33 , 2.00 , 8.00 , 1 , 2 , 3 , 1
 18342 , 3 , 14.00 , 32.00 , 2.00 , 9.33 , 11.36 , 1.33 , 8.00 , 8.00 , 1 , 3 , 4 , 1
 18343 , 1 , 5.00 , 30.00 , 3.00 , 2.38 , 22.30 , 1.33 , 8.00 , 2.00 , 1 , 3 , 2 , -1
 18343 , 2 , 11.00 , 0.00 , 1.00 , 7.14 , 14.28 , 1.33 , 2.00 , 8.00 , 1 , 2 , 3 , 1
 18343 , 3 , 14.00 , 5.00 , 2.00 , 9.33 , 16.92 , 1.33 , 8.00 , 8.00 , 1 , 3 , 4 , 1
 
