 Deviations , EmotionCount , NumberWord , SucRate , Time2ans , True Adaptation
 6.00 , 27.00 , 2.00 , 2.86 , 19.55 ,0
 7.00 , 272.00 , 1.00 , 2.00 , 52.38 ,-1
 12.00 , 326.00 , 2.00 , 2.67 , 39.24 ,-1
 13.00 , 171.00 , 1.00 , 10.00 , 9.56 ,1
 1.00 , 61.00 , 2.00 , 10.00 , 12.86 ,1
 4.00 , 162.00 , 6.00 , 4.55 , 36.58 ,0
 4.00 , 228.00 , 2.00 , 0.86 , 20.22 ,-1
 0.00 , 57.00 , 5.00 , 4.24 , 18.80 ,1
 0.00 , 82.00 , 2.00 , 10.00 , 14.61 ,1
 2.00 , 84.00 , 2.00 , 5.19 , 52.98 ,0
 3.00 , 68.00 , 7.00 , 3.85 , 21.04 ,0
 4.00 , 17.00 , 3.00 , 4.23 , 13.01 ,0
 8.00 , 50.00 , 7.00 , 4.00 , 28.05 ,0
 2.00 , 4.00 , 2.00 , 2.67 , 44.24 ,-1
 5.00 , 0.00 , 1.00 , 0.77 , 13.37 ,-1
 6.00 , 0.00 , 1.00 , 10.00 , 20.74 ,1
 4.00 , 15.00 , 2.00 , 1.52 , 32.61 ,-1
 7.00 , 75.00 , 1.00 , 4.67 , 16.12 ,1
 10.00 , 4.00 , 2.00 , 4.67 , 16.92 ,-1
 5.00 , 98.00 , 2.00 , 2.67 , 15.97 ,-1
 5.00 , 109.00 , 2.00 , 2.50 , 21.04 ,-1
 9.00 , 33.00 , 1.00 , 10.00 , 22.48 ,1
 2.00 , 2.00 , 2.00 , 1.21 , 18.17 ,-1
 9.00 , 43.00 , 2.00 , 2.67 , 27.72 ,-1
 16.00 , 8.00 , 1.00 , 10.00 , 13.82 ,1
 0.00 , 32.00 , 1.00 , 5.83 , 11.49 ,1
 1.00 , 149.00 , 2.00 , 0.39 , 27.02 ,-1
 3.00 , 10.00 , 2.00 , 2.67 , 25.56 ,-1
 3.00 , 170.00 , 3.00 , 6.00 , 17.31 ,-1
 4.00 , 206.00 , 3.00 , 3.12 , 15.82 ,-1
 6.00 , 71.00 , 2.00 , 7.14 , 14.28 ,1
 4.00 , 7.00 , 2.00 , 10.00 , 12.04 ,1
 11.00 , 26.00 , 2.00 , 2.67 , 19.97 ,-1
 13.00 , 10.00 , 1.00 , 5.83 , 9.14 ,1
 1.00 , 24.00 , 2.00 , 10.00 , 18.43 ,1
 2.00 , 31.00 , 2.00 , 2.67 , 17.08 ,-1
 5.00 , 34.00 , 5.00 , 2.50 , 28.03 ,-1
 3.00 , 106.00 , 1.00 , 1.33 , 19.27 ,-1
 7.00 , 85.00 , 3.00 , 3.85 , 13.19 ,0
 15.00 , 116.00 , 6.00 , 2.63 , 26.03 ,-1
 3.00 , 131.00 , 7.00 , 4.00 , 27.29 ,1
 5.00 , 103.00 , 1.00 , 1.33 , 13.39 ,0
 6.00 , 131.00 , 11.00 , 3.89 , 27.18 ,0
 1.00 , 25.00 , 2.00 , 10.00 , 9.71 ,1
 5.00 , 28.00 , 5.00 , 3.68 , 13.45 ,-1
 5.00 , 168.00 , 3.00 , 3.16 , 23.73 ,-1
 0.00 , 0.00 , 1.00 , 1.33 , 9.13 ,-1
 0.00 , 0.00 , 1.00 , 2.00 , 14.78 ,-1
 0.00 , 0.00 , 1.00 , 2.00 , 11.61 ,0
 2.00 , 2.00 , 2.00 , 10.00 , 26.78 ,1
 12.00 , 2.00 , 2.00 , 2.14 , 36.67 ,-1
 17.00 , 0.00 , 2.00 , 7.33 , 9.89 ,1
 13.00 , 25.00 , 3.00 , 1.88 , 62.75 ,-1
 18.00 , 0.00 , 1.00 , 7.14 , 8.62 ,1
 19.00 , 85.00 , 2.00 , 10.00 , 13.51 ,1
 1.00 , 3.00 , 2.00 , 10.00 , 9.99 ,1
 2.00 , 2.00 , 4.00 , 6.97 , 13.69 ,1
 5.00 , 0.00 , 3.00 , 1.78 , 11.92 ,-1
 4.00 , 2.00 , 6.00 , 2.33 , 19.20 ,-1
 4.00 , 0.00 , 1.00 , 10.00 , 10.74 ,1
 7.00 , 0.00 , 2.00 , 10.00 , 10.27 ,1
 3.00 , 4.00 , 2.00 , 10.00 , 10.53 ,1
 5.00 , 6.00 , 5.00 , 3.86 , 23.99 ,0
 0.00 , 0.00 , -8.00 , 3.92 , 29.71 ,0
 1.00 , 55.00 , 2.00 , 10.00 , 29.79 ,1
 9.00 , 8.00 , 4.00 , 1.00 , 21.93 ,-1
 17.00 , 6.00 , 8.00 , 2.53 , 15.07 ,-1
 5.00 , 37.00 , 3.00 , 2.67 , 33.15 ,-1
 6.00 , 0.00 , 1.00 , 7.14 , 7.64 ,1
 14.00 , 32.00 , 2.00 , 9.33 , 11.36 ,1
 5.00 , 30.00 , 3.00 , 2.38 , 22.30 ,-1
 11.00 , 0.00 , 1.00 , 7.14 , 14.28 ,1
 14.00 , 5.00 , 2.00 , 9.33 , 16.92 ,1
