Concept|Definition
Titan|Os titãs (masculino) e as titânides (feminino) (em grego antigo, singular: Τιτάν e Τιτανίς, plural: Τiτάνες e Τιτανίδες), na mitologia grega, estão entre as entidades que enfrentaram Zeus e os demais deuses olímpicos na sua ascensão ao poder. Outros oponentes foram os gigantes, Tifão e Oríon.Dos vários poemas gregos da Idade Clássica sobre a guerra entre os deuses e os titãs, apenas um sobreviveu.
rap|Rap (em inglês, também conhecido como emceeing) é um discurso rítmico com rimas e poesias, que surgiu no final do século XX entre as comunidades Afro-descendentes nos Estados Unidos. É um dos cinco pilares fundamentais da cultura hip hop, de modo que se chame metonimicamente (e de forma imprecisa) hip hop.
cebola|Cebola é o nome popular da planta cujo nome científico é Allium cepa. Em sistemas taxonómicos mais antigos, pertencia à família das Liliáceas e subfamília das alioídeas - taxonomistas mais recentes incluem-na na família das Amaryllidaceae.
Megadeth|Megadeth é uma banda norte-americana de heavy metal liderada por seu fundador, o vocalista e guitarrista Dave Mustaine. O grupo foi formado em 1983, após Dave ser demitido do Metallica.
salada|As saladas são preparações culinárias compostas por vários alimentos diferentes, muitas vezes com cores constrastantes e geralmente comidas frias. A palavra salada vem do latim para salgado, referindo o ingrediente principal do tempero – sal de cozinha – que pode ser o único elemento extra desta combinação, embora normalmente seja mais elaborado.
Death grip|A Death-Grip on Yesterday é terceiro álbum de estúdio da banda de metalcore americana Atreyu, lançado em 28 de março de 2006 pela Victory Records. O álbum vazou em redes P2P e BitTorrent em 24 de fevereiro, pouco mais de um mês antes do lançamento oficial.
Squash|Squash [squóch] é um desporto praticado com raquetes e com uma pequena bola oca preta de borracha por dois jogadores (ou quatro jogadores para disputa de duplas) em uma quadra/campo fechada por quatro paredes, sendo a traseira de vidro. Nas competições de profissionais, as quatro paredes são de vidro e a bola é branca.
Batata Frita|O termo batatas fritas refere-se ao produto da preparação culinária de batatas cortadas previamente em tiras, palitos finíssimos (batata palha), rodelas ou folhas e,posteriormente, fritas. == História == Ainda se questiona a verdadeira origem da batata frita.
Foo Fighters|"Foo Fighters, é uma banda de rock dos Estados Unidos formada pelos ex-Nirvana Dave Grohl e Pat Smear em 1994. Seu nome é uma referência ao termo ""foo fighter"", usado por aviadores na Segunda Guerra Mundial para descrever fenômenos aéreos misteriosos, considerados OVNIs."
purê de batata|Purê de batata, purê de batatas ou puré de batata é um purê feito com batatas cozidas e outros ingredientes, dentre eles margarina (ou manteiga), ovo e leite. Sua consistência é variável, variando do quase líquida ao mais consistente.
Ana Vitória|Ana Vitória Zimmermann (Santo André, 26 de junho de 2002) é uma atriz brasileira. Destacou-se na televisão em 2012, ao interpretar a personagem Marcelina Guerra, uma das protagonistas do remake da telenovela infantil Carrossel, do SBT. Após a novela ela também passou a apresentar o Bom Dia & Companhia e o Sábado Animado, ao lado de Matheus Ueta.
Skank|Skank é uma banda brasileira de pop rock formada em março de 1991 em Belo Horizonte no estado de Minas Gerais. A banda já vendeu mais de 6 milhões de discos entre CDs e DVDs.
Red Hot Red Hot|Red Hot Chili Peppers (também conhecido como Red Hot ou RHCP) é uma banda de rock dos Estados Unidos formada em Los Angeles, Califórnia, em 13 de fevereiro de 1983, considerada uma das maiores bandas da história do rock. O estilo musical do grupo consiste principalmente de rock, bem como elementos de outros gêneros, tais como punk,funk rock e rock psicodélico.
futebol|O futebol, também referido como futebol de campo, futebol de onze e, controversamente, futebol associado (em inglês: association football, football, soccer), é um desporto de equipe jogado entre dois times de 11 jogadores cada um e um árbitro que se ocupa da correta aplicação das normas. É considerado o desporto mais popular do mundo, pois cerca de 270 milhões de pessoas participam das suas várias competições.
bife à parmegiana|Bife à parmegiana ou filé à parmegiana, um prato brasileiro, é um tipo de bife frito, composto por um pedaço de carne fatiado, empanado com farinha de trigo e ovos (clara de ovo), coberto com queijo do tipo parmesão, presunto e bastante molho de tomate e condimentos como orégano e coentro, a gosto. As vezes o queijo parmesão é substituído por fatias de queijo muçarela.
A Banda Mais Bonita da Cidade|A Banda Mais Bonita da Cidade é uma banda brasileira de MPB e Indie rock formada em 2009, que ficou conhecida dentro e fora do país com o vídeoclipe da música Oração, lançado no YouTube, em 2011. 
correr|Corrida é uma competição de velocidade ou resistência. Os competidores tentam completar uma determinada tarefa no menor período de tempo.
feijoada|Feijoada é uma designação comum dada a pratos da culinária de países lusófonos como Portugal, Brasil, Angola, Moçambique e Macau. A feijoada consiste num guisado de feijão, normalmente com carne, e quase sempre acompanhado com arroz.
churrasco|Churrasco é o nome dado ao prato feito a base de carne in natura ou processada, assada sobre fogo ou brasas, com a utilização de estacas de madeira ou metal (chamados de espetos), ou de grelhas..
Beatles|The Beatles foi uma banda de rock britânica, formada em Liverpool em 1960. É o grupo musical mais bem-sucedido e aclamado da história da música popular.
banda Queen|Queen foi uma banda britânica de rock, fundada em 1970 e ativa, sob sua formação clássica, até 1991. O grupo, formado por Brian May (guitarra e vocais), Freddie Mercury (vocais e piano), John Deacon (baixo) e Roger Taylor (bateria e vocais) é frequentemente citado como um dos expoentes do seu estilo, também sendo um dos recordistas de vendas de discos a nível mundial.
Linkin Park|Linkin Park é uma banda de rock dos Estados Unidos formada em 1996 em Agoura Hills, Califórnia. Desde a sua formação, o grupo já vendeu pelo menos 70 milhões de álbuns pelo mundo e ganhou dois Grammy Awards.
futebol americano|"Futebol americano, conhecido nos Estados Unidos simplesmente como football (""futebol"", em português), e em alguns outros países de língua inglesa como gridiron football, é um esporte de equipe e de contato que surgiu de uma variação do rugby e que recompensa a velocidade, agilidade, capacidade tática e força bruta dos jogadores que se empurram, bloqueiam e perseguem uns aos outros, tentando fazer avançar uma bola em território inimigo durante uma hora de tempo de jogo, que se transforma em três ou quatro de tempo real. É frequente ver no futebol americano uma metáfora para a guerra, com muita violência pessoal e estratégias elaboradas a ter lugar dentro do campo, com jogadores pesados e fortes a empurrar-se mutuamente com cada grama do seu peso, e com uma linha de frente claramente definida, que se move para trás e para a frente ao longo do campo, separando as equipes de ataque e defesa."
esta mais alto|Esta é uma lista de ilhas ordenadas pelo seu ponto mais alto. Inclui todas as ilhas com picos acima dos 2 000 m de altitude.
Surf|"O surfe (aportuguesamento do termo inglês surf, também recorrente sob a forma surfing), é uma prática desportiva efetuada na superfície da água, frequentemente considerada parte do grupo de atividades denominadas esportes de aventura, cuja proficiência é verificada pelo grau de dificuldade dos movimentos executados pelo surfista ao deslizar em pé na prancha de surfe, aproveitando a onda que quebra quando se aproxima da praia ou costa.A palavra Surf ainda pode ser encontrada como som da arrebentação das ondas. == Freesurf == O chamado “freesurf” é uma vertente do surfe onde o seu praticante (conhecido como ""freesurfer"") surfa única e exclusivamente para se divertir, sem se preocupar com a performance e sem participar de competições."
Ramones|Os Ramones foram uma banda norte-americana de punk rock formada em Forest Hills, no distrito de Queens, Nova York, no ano de 1974. Considerada como precursora do estilo e uma das bandas mais influentes e importantes da história do rock.No início dos anos 1970 surgiam diversas vertentes do rock nos Estados Unidos e no Reino Unido; o punk rock foi uma delas, sendo os Ramones seus pioneiros e líderes, que consolidaram a base deste estilo musical, com composições simples, minimalistas e repetitivas.
São Paulo|São Paulo é uma das 27 unidades federativas do Brasil. Está situado na Região Sudeste e tem por limites os estados de Minas Gerais a norte e nordeste, Paraná a sul, Rio de Janeiro a leste e Mato Grosso do Sul a oeste, além do Oceano Atlântico a sudeste. 
São Paulo Futebol Clube|O São Paulo Futebol Clube é uma associação esportiva brasileira fundada em 1930, tendo interrompido suas atividades em maio de 1935, e as retomado em dezembro do mesmo ano. 
