class,knn_hst,knn_pxl,mlp_hst,mlp_pxl,svm_hst,svm_pxl,ensemble_hst,ensemble_pxl,ensemble_all
0,0_1.0,0_1.0,0_0.999743940939,2_1.0,0_0.971964202379,0_0.966798150509,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999496910412,2_1.0,0_0.94997649077,0_0.961299773063,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999949465892,2_1.0,0_0.995678058675,0_0.942601656461,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999806171961,2_1.0,0_0.979763515848,0_0.947954954783,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999658120359,2_1.0,0_0.967690411837,0_0.976880903493,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.996749202863,2_1.0,0_0.877546878262,0_0.956150510393,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.995358684078,2_1.0,0_0.873645932618,0_0.979078972076,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999724779328,2_1.0,0_0.979891395978,0_0.988060850875,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999892804773,2_1.0,0_0.995496986575,0_0.897606502676,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999784186287,2_1.0,0_0.991945675697,0_0.924824505498,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999943349224,2_1.0,0_0.996657843101,0_0.979890544172,0_1.0,0_0.666666666667,0_0.833333333333
0,0_1.0,0_1.0,0_0.999956840916,2_1.0,0_0.996626180348,0_0.975476619273,0_1.0,0_0.666666666667,0_0.833333333333
1,1_1.0,1_1.0,1_0.999615325086,2_1.0,1_0.977512423998,1_0.905022025471,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.99963951534,2_1.0,1_0.978971195105,1_0.940402908894,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999568642421,2_1.0,1_0.973258946738,1_0.9138826522,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999590831914,2_1.0,1_0.97724471673,1_0.894422967781,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.996553470297,2_1.0,1_0.959036924396,1_0.766691986979,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.998110620916,2_1.0,1_0.934393777979,1_0.768617511543,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999617014576,2_1.0,1_0.974695015922,1_0.86055582366,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999593084346,2_1.0,1_0.969975436345,1_0.936278582178,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.99971491721,2_1.0,1_0.981445899339,1_0.919102120864,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999226982858,2_1.0,1_0.963392198483,1_0.903676116651,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999667936932,2_1.0,1_0.975061318057,1_0.914685320108,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999601963504,2_1.0,1_0.968184720247,1_0.810243904371,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_0.6,1_0.986748139756,2_1.0,1_0.926086456718,1_0.714835051108,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999618960616,2_1.0,1_0.972046123089,1_0.907536794831,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999575075576,2_1.0,1_0.977534713844,1_0.921778964897,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999745514308,2_1.0,1_0.98152206894,1_0.911814613102,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999599876066,2_1.0,1_0.974828648851,1_0.879815294879,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999660995818,2_1.0,1_0.970509259722,1_0.897299784602,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.99975432204,2_1.0,1_0.982620092948,1_0.907822960784,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.97647797732,2_1.0,1_0.852052930055,1_0.84599494427,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999210062651,2_1.0,1_0.969636744174,1_0.85571383615,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999692430563,2_1.0,1_0.970159327846,1_0.892390604434,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999662775126,2_1.0,1_0.978760565966,1_0.919593340579,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,2_1.0,1_0.999383736312,2_1.0,1_0.973244843261,1_0.646964868194,1_1.0,2_0.666666666667,1_0.666666666667
1,1_1.0,1_1.0,1_0.998443009378,2_1.0,1_0.957371586859,1_0.847490041334,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.99980807032,2_1.0,1_0.978351670188,1_0.884379419927,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,2_1.0,1_0.99953395506,2_1.0,1_0.967515549961,1_0.499022351313,1_1.0,2_0.666666666667,1_0.666666666667
1,1_1.0,1_1.0,1_0.999782306371,2_1.0,1_0.982899937233,1_0.902892327315,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999598528169,2_1.0,1_0.973625621776,1_0.874157787121,1_1.0,1_0.666666666667,1_0.833333333333
1,1_1.0,1_1.0,1_0.999704434865,2_1.0,1_0.975066582066,1_0.873926749755,1_1.0,1_0.666666666667,1_0.833333333333
2,2_1.0,2_1.0,2_0.995435894664,2_1.0,2_0.966441992518,2_0.887424368281,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.999868700571,2_1.0,2_0.981535475246,2_0.950290068184,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.995985174311,2_1.0,2_0.960754808477,2_0.901017232386,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.999868409858,2_1.0,2_0.983026676295,2_0.925395623518,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.989050119033,2_1.0,2_0.942835994806,2_0.577763814283,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.999537304422,2_1.0,2_0.983794602902,2_0.94120919322,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.990980950357,2_1.0,2_0.949088163028,2_0.794133176409,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.999468854656,2_1.0,2_0.983531751831,2_0.94076963985,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.998903813959,2_1.0,2_0.971142819119,2_0.915947933427,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.998689716843,2_1.0,2_0.969387754339,2_0.890717501751,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.999246343406,2_1.0,2_0.97654805538,2_0.938377022973,2_1.0,2_1.0,2_1.0
2,2_0.8,2_1.0,2_0.933319047269,2_1.0,2_0.914916494426,2_0.965822085969,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.792512939416,2_1.0,2_0.88846275622,2_0.913158089225,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.998557119972,2_1.0,2_0.97582195828,2_0.846410485992,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.823893408151,2_1.0,2_0.912897275582,2_0.774953857944,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.942070712713,2_1.0,2_0.93071498849,2_0.765773789821,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.984033564095,2_1.0,2_0.95511770645,2_0.865770527402,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.979659313655,2_1.0,2_0.951711045833,2_0.847512700776,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.979981689517,2_1.0,2_0.952726273018,2_0.879429922951,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.973948511339,2_1.0,2_0.949029559006,2_0.872135494419,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.988840259437,2_1.0,2_0.964175447619,2_0.85637387778,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.988735622142,2_1.0,2_0.964320750195,2_0.869989904031,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.997625096825,2_1.0,2_0.96436338201,2_0.914435362397,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.999606108194,2_1.0,2_0.975618563133,2_0.935549123757,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.999331239557,2_1.0,2_0.976425442074,2_0.931493188525,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.984484289941,2_1.0,2_0.947645345546,2_0.872290352443,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.986183211931,2_1.0,2_0.95401377303,2_0.957207419494,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.979260980072,2_1.0,2_0.942554280557,2_0.862614470728,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.981274218244,2_1.0,2_0.945176542988,2_0.872447601735,2_1.0,2_1.0,2_1.0
2,2_1.0,2_1.0,2_0.999206596544,2_1.0,2_0.974971149738,2_0.922310624036,2_1.0,2_1.0,2_1.0
